sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,30,131072,cpu,1,5b2d59fe5ef6e33b52104add6818d103d4b0ebe99dca42a82b453ee559e79952,1.5765539880003416,0.269585528999869,"[0.055428341000151704, 0.06187180400002035, 0.05296916399993279, 0.052325161999760894, 0.06693331999986185, 0.055765032000181236, 0.05845962200010035]",0.055765032000181236,0.05419875250004225,0.06016571300006035
sobol,normal,60,128,cpu,0,8b25cafa0a1b6391a93201274f76d8e8018b91a5740a17bff3723fc4a943d9c7,1.9475718749999942,0.17002814799980115,"[0.00015227100038828212, 0.0001412770002389152, 0.00013590599974122597, 0.00012937700012116693, 0.00012756999967677984, 0.00012441900025805808, 0.00016828399975565844]",0.00013590599974122597,0.0001284734998989734,0.00014677400031359866
sobol,normal,60,128,gpu,1,8b25cafa0a1b6391a93201274f76d8e8018b91a5740a17bff3723fc4a943d9c7,1.9475718749999942,0.4132618610001373,"[0.00018001099988396163, 0.0001831740000852733, 0.0001951690001078532, 0.00017529700016893912, 0.00014745399994353647, 0.00015393800003948854, 0.00014293300000645104]",0.00017529700016893912,0.0001506959999915125,0.00018159249998461746
sobol,normal,60,256,gpu,0,22f608994157ea09a2d43e7ba6731c529bb830b032732518478eae05571863c1,1.0810286740002084,0.45238557799984846,"[0.0001758859998517437, 0.00018523900007494376, 0.0001619710001250496, 0.0001577210000505147, 0.00015193800027191173, 0.00015180399987002602, 0.0001520740001978993]",0.0001577210000505147,0.00015200600023490551,0.00016892849998839665
sobol,normal,60,256,cpu,1,22f608994157ea09a2d43e7ba6731c529bb830b032732518478eae05571863c1,1.0810286740002084,0.15307399499988605,"[0.00027106199968329747, 0.00028133700016041985, 0.0002571449999777542, 0.00024886500023058034, 0.00023034500009089243, 0.000230146999911085, 0.0002369179997003812]",0.00024886500023058034,0.0002336314998956368,0.00026410349983052583
sobol,normal,60,512,cpu,0,bc887baf19d16d808b94cfe4d3e066c456436216a8c056484686a4c7fc2e2541,1.0589023409997935,0.16019122300031086,"[0.00049569699967833, 0.0005003269998269388, 0.000478106000173284, 0.00048196299985647784, 0.0004739589999189775, 0.0005082709999442159, 0.00047673100016254466]",0.00048196299985647784,0.0004774185001679143,0.0004980119997526344
sobol,normal,60,512,gpu,1,bc887baf19d16d808b94cfe4d3e066c456436216a8c056484686a4c7fc2e2541,1.0589023409997935,0.5207999559997916,"[0.00018520000003263704, 0.00020383699984449777, 0.00018582599977889913, 0.00022294099971986725, 0.0001868210001703119, 0.00017334799986201688, 0.0001811539996197098]",0.00018582599977889913,0.00018317699982617341,0.00019532900000740483
sobol,normal,60,2048,gpu,0,d1f053c504fe1b3608cc98c3c9645806affedda4dc328aef83e8e86948a6d27b,1.2450689100001,0.6556630549998772,"[0.000330057000155648, 0.00031558099999529077, 0.0004469509999580623, 0.00032907400009207777, 0.00027502400007506367, 0.0002637699999468168, 0.00026116399976672255]",0.00031558099999529077,0.00026939700001094025,0.0003295655001238629
sobol,normal,60,2048,cpu,1,d1f053c504fe1b3608cc98c3c9645806affedda4dc328aef83e8e86948a6d27b,1.2450689100001,0.17420120199994926,"[0.0013316600002326595, 0.0011297470000499743, 0.0012363169998934609, 0.0014100779999353108, 0.001361267999982374, 0.0012635660000341886, 0.0013435100004244305]",0.0013316600002326595,0.0012499414999638248,0.0013523890002034022
sobol,normal,60,8192,cpu,0,e247f35b011c19921dfef24515763352424e6e229878c8d69f7f586197e997c8,1.2451329300001817,0.16537952699991365,"[0.004198554000140575, 0.0037603929999932006, 0.004177556999820808, 0.004147396000007575, 0.0038367980000657553, 0.004225981000217871, 0.004280828999981168]",0.004177556999820808,0.003992097000036665,0.004212267500179223
sobol,normal,60,8192,gpu,1,e247f35b011c19921dfef24515763352424e6e229878c8d69f7f586197e997c8,1.2451329300001817,0.6740263749998121,"[0.0003622069998527877, 0.0003797979998125811, 0.0003519879996929376, 0.0003393550000510004, 0.0003337779999128543, 0.00033700899984978605, 0.0003301839997220668]",0.0003393550000510004,0.00033539349988132017,0.00035709749977286265
sobol,normal,60,32768,gpu,0,7c4b3c75ad2be06b7f4180bd3de0577d4b52588d737f2cd94ff253cff8066bba,1.3461004480000156,0.7613454390002516,"[0.0004255359999660868, 0.00047979999999370193, 0.0004794980000042415, 0.00047367099978146143, 0.0004724479999822506, 0.00047253000002456247, 0.00047408099999302067]",0.00047367099978146143,0.00047248900000340655,0.00047678949999863107
sobol,normal,60,32768,cpu,1,7c4b3c75ad2be06b7f4180bd3de0577d4b52588d737f2cd94ff253cff8066bba,1.3461004480000156,0.1843628550000176,"[0.014496108000003005, 0.01624364899998909, 0.01659230299992487, 0.016363108999939868, 0.01463166400026239, 0.0163316749999467, 0.016587084999628132]",0.0163316749999467,0.01543765650012574,0.016475096999784
sobol,normal,60,131072,cpu,0,7228636dd805cec7e5902f4e49e181c677bc19f4ec09018e54f9bd521de62323,1.701553313000204,0.23499805400024343,"[0.08227359199963757, 0.07798802499974045, 0.08234782999988965, 0.07862966900029278, 0.08301447600024403, 0.07943597000030422, 0.0829615949996878]",0.08227359199963757,0.0790328195002985,0.08265471249978873
sobol,normal,60,131072,gpu,1,7228636dd805cec7e5902f4e49e181c677bc19f4ec09018e54f9bd521de62323,1.701553313000204,0.4213999079997848,"[0.000740641999982472, 0.000763588999689091, 0.0007616450002387865, 0.0007725909999862779, 0.0007618130002811085, 0.0007845909999559808, 0.0007622859998264175]",0.0007622859998264175,0.0007617290002599475,0.0007680899998376844
halton,normal,2,128,gpu,0,caa56592d440c4cd7517c7718f7cc838983c56ade149b0dcdc4315d7e0de4476,1.643068458000016,0.0008365349999621685,"[0.0005541580003409763, 0.0005863119999958144, 0.0006036770000719116, 0.000599188999785838, 0.0005861469999217661, 0.0005550969999603694, 0.0005700470001102076]",0.0005861469999217661,0.0005625720000352885,0.0005927504998908262
halton,normal,2,128,cpu,1,caa56592d440c4cd7517c7718f7cc838983c56ade149b0dcdc4315d7e0de4476,1.643068458000016,0.00031842399994275183,"[0.00012806099994122633, 0.00010260399994876934, 9.101800014832406e-05, 8.873500019035419e-05, 8.917899958760245e-05, 9.035399989443249e-05, 9.037300014824723e-05]",9.037300014824723e-05,8.976649974101747e-05,9.68110000485467e-05
halton,normal,2,256,cpu,0,296a7e41f77a8f1f518073a09da41268cf906ec248ef89ac0dfa53da9ee6e941,0.2989926089999244,0.00034386300012556603,"[0.00017181799967147526, 0.00015841599997656886, 0.00015660100007153233, 0.00014837899971098523, 0.00014682100027130218, 0.0001455599999644619, 0.00015567399987048702]",0.00015567399987048702,0.0001475999999911437,0.0001575085000240506
halton,normal,2,256,gpu,1,296a7e41f77a8f1f518073a09da41268cf906ec248ef89ac0dfa53da9ee6e941,0.2989926089999244,0.0008639870002298267,"[0.0006167789997562068, 0.0006469850000030419, 0.0005809549998048169, 0.0005380249999689113, 0.0005625490002785227, 0.0005268499999147025, 0.0005525939996005036]",0.0005625490002785227,0.0005453094997847074,0.0005988669997805118
