sequence,dimension,n,mode,scramble,implementation,backend,order,repetition_seeds,setup_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,60,8192,fresh,True,jax,cpu,0,"[2833432092, 186901531, 3274627749, 2259306121, 3753235056, 411279733, 712813665]",0.0037529580001773866,0.5807650880001347,"[0.001585526999861031, 0.0014483869999821763, 0.0015356469998550892, 0.001183454000056372, 0.0013531179999972665, 0.0014502890001040214, 0.0014935839999452583]",0.0014502890001040214,0.0014007524999897214,0.0015146154999001737
sobol,60,8192,fresh,True,jax,gpu,1,"[2833432092, 186901531, 3274627749, 2259306121, 3753235056, 411279733, 712813665]",0.005880281999907311,1.9066574219998529,"[0.00026364000018475053, 0.0002875500001664477, 0.00026158900004702446, 0.00044582200007425854, 0.0002710329999899841, 0.00026542599994172633, 0.0002581410001312179]",0.00026542599994172633,0.0002626145001158875,0.0002792915000782159
sobol,60,8192,fresh,True,scipy,cpu,2,"[2833432092, 186901531, 3274627749, 2259306121, 3753235056, 411279733, 712813665]",0.003974589999870659,0.010217424999837021,"[0.005364224999993894, 0.005445277000035276, 0.005481162000023687, 0.005425200999980007, 0.005412943000010273, 0.005390752999801407, 0.005358788999956232]",0.005412943000010273,0.0053774889998976505,0.005435239000007641
sobol,60,32768,fresh,True,jax,gpu,0,"[2356801226, 2230583528, 2242112422, 2305183155, 3151453048, 970417522, 4146694590]",0.00022093299980951997,3.390533732999984,"[0.0005871229998319905, 0.0006131420000201615, 0.0005970100000922685, 0.0005885030000172264, 0.0005732580000312737, 0.0005758929999046813, 0.0005677809999724559]",0.0005871229998319905,0.0005745754999679775,0.0005927565000547474
sobol,60,32768,fresh,True,scipy,cpu,1,"[2356801226, 2230583528, 2242112422, 2305183155, 3151453048, 970417522, 4146694590]",0.004752296999868122,0.01710006999996949,"[0.009677120000105788, 0.009511297000017294, 0.009670149999919886, 0.009609879999970872, 0.009807460999809336, 0.00981226599992624, 0.009998303999964264]",0.009677120000105788,0.009640014999945379,0.009809863499867788
sobol,60,32768,fresh,True,jax,cpu,2,"[2356801226, 2230583528, 2242112422, 2305183155, 3151453048, 970417522, 4146694590]",0.0002430250001452805,0.6471064639999895,"[0.007619470999998157, 0.004940535000059754, 0.006687093999971694, 0.007205863000081081, 0.007594461999815394, 0.005369733999941673, 0.00435324899990519]",0.006687093999971694,0.005155134500000713,0.007400162499948237
sobol,60,131072,fresh,True,scipy,cpu,0,"[3732368897, 3880923590, 2283119320, 760725930, 1268329114, 3604405552, 2019830783]",0.006617888000164385,0.04724437699996997,"[0.044460492000098384, 0.04425407199983056, 0.0444244919999619, 0.04456017899997278, 0.044480889999931605, 0.04422400099997503, 0.04434800700005326]",0.0444244919999619,0.04430103949994191,0.044470691000014995
sobol,60,131072,fresh,True,jax,cpu,1,"[3732368897, 3880923590, 2283119320, 760725930, 1268329114, 3604405552, 2019830783]",0.00023699300004409452,0.6695203879999099,"[0.053668293999862726, 0.04860089700014214, 0.044410529000060706, 0.04707655300012448, 0.05051526200008993, 0.04681565500004581, 0.046451151999917784]",0.04707655300012448,0.046633403499981796,0.04955807950011604
sobol,60,131072,fresh,True,jax,gpu,2,"[3732368897, 3880923590, 2283119320, 760725930, 1268329114, 3604405552, 2019830783]",0.006853460000002087,4.346212564000098,"[0.001455146999887802, 0.0014356860001498717, 0.001439553000182059, 0.0014296279998688988, 0.001430755000001227, 0.001421764000042458, 0.001409302000183743]",0.001430755000001227,0.0014256959999556784,0.0014376195001659653
halton,2,128,fresh,True,jax,cpu,0,"[2161385192, 1767340933, 3925183332, 1275058358, 3987206112, 3051566107, 845955555]",0.006061869999939518,0.6466368270000658,"[0.00020035900001857954, 0.00018010400003731775, 0.0001664660001097218, 0.00016006600003493077, 0.00018113300006916688, 0.00015741099991828378, 0.0001705709998987004]",0.0001705709998987004,0.00016326600007232628,0.00018061850005324231
halton,2,128,fresh,True,jax,gpu,1,"[2161385192, 1767340933, 3925183332, 1275058358, 3987206112, 3051566107, 845955555]",0.00495427999999265,1.2296574209999562,"[0.0016718580000087968, 0.0017088910001348268, 0.0016596159998698568, 0.0016627190000235714, 0.0016585169998961646, 0.0016622379998807446, 0.0016953619999640068]",0.0016627190000235714,0.0016609269998753007,0.0016836099999864018
halton,2,128,fresh,True,scipy,cpu,2,"[2161385192, 1767340933, 3925183332, 1275058358, 3987206112, 3051566107, 845955555]",0.006094969000059791,0.0014466869999978371,"[0.0005685609999090957, 0.0005699129999356956, 0.00055770299991309, 0.0005610400000932714, 0.0005562119999922288, 0.00055949700004021, 0.0005693799998880422]",0.0005610400000932714,0.00055859999997665,0.000568970499898569
halton,2,512,fresh,True,jax,gpu,0,"[2942102815, 2244911671, 171021545, 451315254, 4017234364, 1513576390, 1989980074]",0.0002399420000074315,1.1742177920000358,"[0.0016160929999387008, 0.0015966359999310953, 0.0016575520000969846, 0.0015889750000042113, 0.001592586000015217, 0.001593661000015345, 0.0015789560000030178]",0.001593661000015345,0.0015907805000097142,0.001606364499934898
halton,2,512,fresh,True,scipy,cpu,1,"[2942102815, 2244911671, 171021545, 451315254, 4017234364, 1513576390, 1989980074]",0.006059921000087343,0.0018214050001006399,"[0.0010425890000078653, 0.0010423389999232313, 0.0010459740001351747, 0.0010323189999326132, 0.001032418000022517, 0.0010281280001436244, 0.0010293149998688023]",0.001032418000022517,0.0010308169999007077,0.0010424639999655483
halton,2,512,fresh,True,jax,cpu,2,"[2942102815, 2244911671, 171021545, 451315254, 4017234364, 1513576390, 1989980074]",0.00023076000002220098,0.6263788250000744,"[0.0002509430000827706, 0.0002904959999341372, 0.0002676649999102665, 0.00023413700000673998, 0.00020371200002955447, 0.00022244100000534672, 0.00020952300019416725]",0.00023413700000673998,0.000215982000099757,0.00025930399999651854
halton,2,2048,fresh,True,scipy,cpu,0,"[3819927873, 789458859, 1151565608, 3794880066, 3713971604, 3586037744, 193146961]",0.005719565000163129,0.0054345670000657265,"[0.0029363239998474455, 0.002915071999950669, 0.002934183999968809, 0.002937142999826392, 0.0029151860001093155, 0.0029010799999014125, 0.0028921429998263193]",0.0029151860001093155,0.002908075999926041,0.0029352539999081273
halton,2,2048,fresh,True,jax,cpu,1,"[3819927873, 789458859, 1151565608, 3794880066, 3713971604, 3586037744, 193146961]",0.00023168300003817421,0.6340601409999636,"[0.00046026300015000743, 0.0004548640001758031, 0.00045053300004838093, 0.00040150400013772014, 0.0004172870001184492, 0.00040190599997913523, 0.000411224000117727]",0.0004172870001184492,0.0004065650000484311,0.000452698500112092
halton,2,2048,fresh,True,jax,gpu,2,"[3819927873, 789458859, 1151565608, 3794880066, 3713971604, 3586037744, 193146961]",0.005964771999970253,1.159668075000127,"[0.0015949569999520463, 0.0016010009999263275, 0.0016003140001430438, 0.0016039399999954185, 0.0016042990000642021, 0.0015971739999258716, 0.0015675480001391406]",0.0016003140001430438,0.001596065499938959,0.001602470499960873
